Time,FPS 
1035,1000
1036,1000
1037,1000
1037,0
1039,500
1040,1000
1041,1000
1042,1000
1043,1000
1044,1000
1045,1000
1045,0
1046,1000
1047,1000
1048,1000
1049,1000
1050,1000
1051,1000
1052,1000
1053,1000
1054,1000
1055,1000
1056,1000
1057,1000
1058,1000
1059,1000
1060,1000
1061,1000
1062,1000
1063,1000
1063,0
1064,1000
1065,1000
1066,1000
1067,1000
1068,1000
1069,1000
1069,0
1070,1000
1072,500
1073,1000
1074,1000
1075,1000
1076,1000
1077,1000
1078,1000
1079,1000
1080,1000
1081,1000
1081,0
1082,1000
1083,1000
1084,1000
1085,1000
1086,1000
1087,1000
1088,1000
1089,1000
1090,1000
1091,1000
1092,1000
1092,0
1093,1000
1094,1000
1095,1000
1096,1000
1097,1000
1097,0
1098,1000
1099,1000
1100,1000
1101,1000
1102,1000
1103,1000
1103,0
1104,1000
1106,500
1107,1000
1108,1000
1109,1000
1110,1000
1111,1000
1112,1000
1113,1000
1113,0
1114,1000
1115,1000
1116,1000
1117,1000
1118,1000
1120,500
1121,1000
1122,1000
1124,500
1125,1000
1126,1000
1127,1000
1128,1000
1129,1000
1130,1000
1131,1000
1132,1000
1133,1000
1134,1000
1135,1000
1136,1000
1137,1000
1138,1000
1139,1000
1141,500
1142,1000
1143,1000
1143,0
1144,1000
1145,1000
1146,1000
1147,1000
1148,1000
1149,1000
1149,0
1150,1000
1151,1000
1152,1000
1153,1000
1154,1000
1155,1000
1156,1000
1157,1000
1158,1000
1159,1000
1160,1000
1160,0
1161,1000
1162,1000
1163,1000
1164,1000
1165,1000
1166,1000
1167,1000
1167,0
1169,500
1170,1000
1170,0
1171,1000
1172,1000
1173,1000
1175,500
1176,1000
1176,0
1177,1000
1178,1000
1179,1000
1180,1000
1181,1000
1182,1000
1183,1000
1184,1000
1186,500
1188,500
1189,1000
1191,500
1192,1000
1193,1000
1194,1000
1195,1000
1196,1000
1196,0
1197,1000
1198,1000
1199,1000
1200,1000
1201,1000
1202,1000
1203,1000
1204,1000
1205,1000
1207,500
1208,1000
1208,0
1209,1000
1210,1000
1211,1000
1212,1000
1212,0
1213,1000
1214,1000
1215,1000
1215,0
1216,1000
1217,1000
1218,1000
1219,1000
1220,1000
1221,1000
1222,1000
1223,1000
1224,1000
1225,1000
1226,1000
1227,1000
1228,1000
1229,1000
1230,1000
1231,1000
1232,1000
1233,1000
1234,1000
1235,1000
1236,1000
1237,1000
1238,1000
1239,1000
1240,1000
1241,1000
1243,500
1244,1000
1245,1000
1246,1000
1247,1000
1248,1000
1248,0
1249,1000
1250,1000
1252,500
1253,1000
1255,500
1255,0
1257,500
1258,1000
1259,1000
1260,1000
1261,1000
1262,1000
1263,1000
1264,1000
1265,1000
1266,1000
1266,0
1267,1000
1268,1000
1269,1000
1270,1000
1271,1000
1272,1000
1274,500
1275,1000
1276,1000
1277,1000
1277,0
1278,1000
1279,1000
1280,1000
1281,1000
1282,1000
1282,0
1283,1000
1284,1000
1285,1000
1286,1000
1287,1000
1288,1000
1290,500
1291,1000
1292,1000
1292,0
1293,1000
1294,1000
1295,1000
1296,1000
1297,1000
1297,0
1298,1000
1299,1000
1300,1000
1301,1000
1302,1000
1303,1000
1304,1000
